Category,Experiment,Model,Is_Ablation,Temporal,Epoch,Best_Val_Loss,Use_Attention,Separation_Weight,Dynamic_MSE_Weight,Learning_Rate,epoch,best_val_loss,val_metrics_static_mse,val_metrics_dynamic_mse,val_metrics_total_mse,val_metrics_static_temporal,val_metrics_dynamic_temporal,val_metrics_static_nmse_db,val_metrics_dynamic_nmse_db,val_metrics_total_nmse_db,best_val_metrics_static_mse,best_val_metrics_dynamic_mse,best_val_metrics_total_mse,best_val_metrics_static_temporal,best_val_metrics_dynamic_temporal,best_val_metrics_static_nmse_db,best_val_metrics_dynamic_nmse_db,best_val_metrics_total_nmse_db,model_total_params,model_param_count,config_available,optimizer_available,scheduler_available
baseunet,Ablation1_BaselineUNet,UNetBaseline,True,False,37,0.004193416943221733,False,0.0,0.0,0.001,37,0.004193416943221733,0.0,0.0,0.004193416943221733,0.0,0.0,0.0,0.0,-24.285629908243816,0.0,0.0,0.004193416943221733,0.0,0.0,0.0,0.0,-24.285629908243816,31048916,118,True,True,True
no_temporal,Ablation3_NoTemporal,UNetDecomposer,False,False,57,0.016913746621597697,True,0.05,2.0,0.001,57,0.016913746621597697,0.00256466505083221,0.002083805669961428,0.0032049823354032858,0.0,0.0,-25.73071614018193,-17.3769755186858,-25.754946602715385,0.00256466505083221,0.002083805669961428,0.0032049823354032858,0.0,0.0,-25.73071614018193,-17.3769755186858,-25.754946602715385,43580832,192,True,True,True
no_smooth,Ablation8_NoStaticSmooth,UNetDecomposer,False,True,117,0.0175456752034801,True,0.05,2.0,0.001,117,0.0175456752034801,0.0024702961651470374,0.0019766294388790374,0.0035077373160877163,0.0,0.0,-26.14771263687699,-17.60783933710169,-25.687000345300746,0.0024702961651470374,0.0019766294388790374,0.0035077373160877163,0.0,0.0,-26.14771263687699,-17.60783933710169,-25.687000345300746,43580832,192,True,True,True
no_reg,Ablation7_NoRegularization,UNetDecomposer,False,True,81,0.034954720073276095,True,0.05,2.0,0.001,81,0.034954720073276095,0.0025752332984228378,0.0021128795903038095,0.0033629302590809486,1.7618355530279655,0.0,-25.869897135981805,-17.347353652671533,-25.66766286779333,0.0025752332984228378,0.0021128795903038095,0.0033629302590809486,1.7618355530279655,0.0,-25.869897135981805,-17.347353652671533,-25.66766286779333,43580832,192,True,True,True
no_attention,Ablation4_NoAttention,UNetDecomposer,False,True,61,0.03756050565452487,False,0.05,2.0,0.001,61,0.03756050565452487,0.003426030002258442,0.002272138889465067,0.00409379942101185,1.677322091879668,0.0,-24.275990733393915,-17.011569729557745,-24.383174119172274,0.003426030002258442,0.002272138889465067,0.00409379942101185,1.677322091879668,0.0,-24.275990733393915,-17.011569729557745,-24.383174119172274,43317536,188,True,True,True
full,Ablation2_FullImproved,UNetDecomposer,False,True,78,0.03771146290280201,True,0.05,2.0,0.001,78,0.03771146290280201,0.002903046521910087,0.002159344804197274,0.004135990955142511,1.7476821961226288,0.0,-25.311574229487665,-17.288262967710143,-25.107531865437824,0.002903046521910087,0.002159344804197274,0.004135990955142511,1.7476821961226288,0.0,-25.311574229487665,-17.288262967710143,-25.107531865437824,43580832,192,True,True,True
no_separation,Ablation5_NoSeparation,UNetDecomposer,False,True,55,0.03913288556591228,True,0.0,2.0,0.001,55,0.03913288556591228,0.0032037517262829673,0.0024862418951535664,0.004486550145817024,1.7313166900917336,0.0,-24.86861334906684,-16.70883697933621,-24.480523851182724,0.0032037517262829673,0.0024862418951535664,0.004486550145817024,1.7313166900917336,0.0,-24.86861334906684,-16.70883697933621,-24.480523851182724,43580832,192,True,True,True
old_weights,Ablation6_OldWeights,UNetDecomposer,False,True,31,0.12313405783088119,True,0.05,1.0,0.0005,31,0.12313405783088119,0.00880399018664051,0.005210707033122027,0.009140756015700323,1.4780179482919198,0.0,-20.053802490234375,-13.364296383327908,-20.51857814082393,0.00880399018664051,0.005210707033122027,0.009140756015700323,1.4780179482919198,0.0,-20.053802490234375,-13.364296383327908,-20.51857814082393,43580832,192,True,True,True
